Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
hsa-miR-29a* ,6.126953113,51.5,58.8463555,35.64514125,145.2496875,27.35340884,-1.2908747,7.704832125,8.30713665,75.16008975,56.25,14.6213318,84.75,42.0593305,-31.401557,-33.40569745,3.9237157,30.45597845,41.03614
hsa-miRPlus-E1180 ,6.335547105,0.25,0.652671875,23.76870725,83.397596,-25.07193,-1.639471025,-34.72820475,62.59923675,149.67631,193,19.86001875,8.25,3.1367188,-31.05498125,-31.98251538,52.37754875,126.926523,-14.6365072
kshv-miR-K12-10b ,6.449513025,243,25.4885255,30.04588325,-19.17567066,-13.56970025,-9.677438875,-12.18023868,18.4511605,42.178484,93.25,3.993876825,55.75,62.6340135,25.38781743,15.67990675,13.23867425,46.15126525,58.51453825
hsa-miR-630 ,6.709414525,43.75,95.9337075,86.1977225,129.0859585,-8.786583025,11.2431105,-1.4410723,42.39505785,181.9019288,30,45.3379595,119.5,133.5478915,86.392788,9.0047244,92.054806,109.100825,91.906955
hsa-miR-1227 ,6.7765292,1990,94.0571135,86.25856725,0.5278665,18.7120115,17.74909613,7.41859275,30.14533025,168.18211,54.5,13.3335783,117.25,45.648156,37.7944565,-10.19260525,24.97942325,50.89459425,54.01207125
hsa-miR-182* ,6.83277225,22.75,63.73152175,44.88673391,60.99080575,-66.13466825,44.09784975,-60.51565125,-22.240384,24.896353,10,-5.927768725,3,478.4479975,60.9367475,-34.54752525,6.9803561,-1.614355075,123.696155
hsa-miR-944 ,6.97408775,656,101.2574925,123.310495,7.83589551,21.7336695,10.38494675,21.16253463,59.916069,223.9547075,19.75,19.12208825,437.75,155.2269375,218.9988425,21.643629,102.842602,175.17413,151.3871925
hsa-miR-501-3p ,7.0178437,52.25,54.528892,43.88420125,36.045711,-12.51358433,52.007103,-34.505882,-12.40687075,121.4113688,-12.5,4.7509765,48,58.66177375,63.891629,-48.98202875,38.4798145,23.125271,163.0059
hsa-miR-1291 ,7.1910172,0.25,34.6889565,16.9203495,96.693268,10.10332863,2.750450225,13.43448245,-8.334568,140.1416525,-30.25,3.86473365,168.75,33.4671975,6.888751875,-60.01923575,-4.71241555,18.05757675,13.79074483
hsa-miR-490-3p ,7.25731175,118,107.8347875,106.1338185,140.5426075,-15.15973108,12.30036528,19.3287695,19.51150125,238.683,-7.75,23.4221494,164.75,107.752534,195.2704925,71.41508225,23.329876,120.4747613,100.03865
hsa-miR-506 ,7.352449875,655.75,454.65477,415.1538675,182.6412025,224.2939425,144.3418725,105.6673725,384.6643083,992.908975,115,24.8650875,841,364.85536,348.47859,-25.07273325,85.3988035,144.24453,360.55236
hsa-miR-610 ,7.355172125,31.75,48.72427725,28.14709868,69.656812,15.94231435,97.172695,-4.4136525,20.20387275,298.98763,179.25,8.79536455,6.5,42.861824,13.84170338,-35.52861788,21.610981,96.4044675,77.444321
